"ISSCAAP","TAXOCODE","X3A_CODE","Scientific_name","English_name","French_name","Spanish_name","Arabic_name","Chinese_name","Russian_name","Author","Family","Order","Stats_data","geometry"
11,"1400100101","YCL","Cycleptus elongatus","Blue sucker","","","","","","(Lesueur 1817)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100201","DEU","Deltistes luxatus","Lost River sucker","","","","","","(Cope 1879)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100401","ATC","Catostomus catostomus","Longnose sucker","","","","","","(Forster 1773)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100402","ATO","Catostomus commersoni","White sucker","","","","","","(Lacépède 1803)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100403","ATS","Catostomus latipinnis","Flannelmouth sucker","","","","","","Baird & Girard 1853","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100404","ATU","Catostomus macrocheilus","Largescale sucker","","","","","","Girard 1856","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100405","ATE","Catostomus tahoensis","Tahoe sucker","","","","","","Gill & Jordan 1878","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100601","MOG","Moxostoma congestum","Gray redhorse","","","","","","(Baird & Girard 1854)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100602","MOE","Moxostoma erythrurum","Golden redhorse","","","","","","(Rafinesque 1818)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100603","MOM","Moxostoma macrolepidotum","Shorthead redhorse","","","","","","(Lesueur 1817)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400100901","LAL","Lagochila lacera","Harelip sucker","","","","","","Jordan & Brayton 1877-78","Catostomidae","CYPRINIFORMES","NO",""
11,"1400101101","BUB","Ictiobus cyprinellus","Bigmouth buffalo","Poisson-taureau","","","大口胭脂鱼","","(Valenciennes 1844)","Catostomidae","CYPRINIFORMES","NO",""
11,"14001011XX","BUF","Ictiobus spp","Buffalofishes nei","Poissons-taureaux nca","","","","Буффало","","Catostomidae","CYPRINIFORMES","YES",""
11,"1400102001","MXS","Myxocyprinus asiaticus","Chinese sucker","","","","胭脂鱼","","(Bleeker 1865)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400102901","CDO","Carpiodes carpio","River carpsucker","","","","","","(Rafinesque 1820)","Catostomidae","CYPRINIFORMES","YES",""
11,"1400110601","XYT","Xyrauchen texanus","Razorback sucker","","","","","","(Abbott 1861)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400112001","ATJ","Chasmistes cujus","Cui-ui","","","","","","Cope 1883","Catostomidae","CYPRINIFORMES","NO",""
11,"1400112801","MIM","Minytrema melanops","Spotted sucker","","","","","","(Rafinesque 1820)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400112901","ERU","Erimyzon sucetta","Lake chubsucker","","","","","","(Lacépède 1803)","Catostomidae","CYPRINIFORMES","NO",""
11,"1400113701","HYN","Hypentelium nigricans","Northern hog sucker","","","","","","(Lesueur 1817)","Catostomidae","CYPRINIFORMES","NO",""
11,"14001XXXXX","CTM","Catostomidae","Suckers nei","Cyprins sucets nca","Chupadores nep","","","","","Catostomidae","CYPRINIFORMES","YES",""
11,"1400200102","FBM","Abramis brama","Freshwater bream","Brème d'eau douce","Brema común","","欧鳊","Лещ","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"14002001XX","FBR","Abramis spp","Freshwater breams nei","Brèmes d'eau douce nca","Bremas nep","","","Лещи","","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400200201","FCP","Cyprinus carpio","Common carp","Carpe commune","Carpa común","","鲤","Сазан(=карп)","Linnaeus 1758","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400200202","FPR","Cyprinus pellegrini","Barbless carp","","","","大头鲤","","Tchang 1933","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400200401","AAX","Aaptosyax grypus","","","","","","","Rainboth 1991","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400200501","ABB","Abbottina rivularis","Chinese false gudgeon","","","","棒花鱼","","(Basilewsky 1855)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400200601","AHL","Acanthalburnus microlepis","Blackbrow bleak","","","","","","(De Filippi 1861)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400200701","FTE","Tinca tinca","Tench","Tanche","Tenca","","丁鱥","Линь","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400200801","ATA","Acapoeta tanganicae","","","","","","","(Boulenger 1900)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201201","ALR","Alburnus alburnus","Bleak","Ablette","Alburno","","","Уклейка","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201202","ABD","Alburnus albidus","","","","","","","(Costa 1838)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201301","PTB","Barbus barbus","Barbel","Barbeau fluviatile","Barbo común","","","","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201302","BUD","Barbus meridionalis","Mediterranean barbel","","","","","","Risso 1827","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201303","BBQ","Barbus canis","","","","","","","Valenciennes 1842","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201304","BBN","Barbus aeneus","Smallmouth yellowfish","","","","","","(Burchell 1822)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201305","BBJ","Barbus capensis","Clanwilliam yellowfish","","","","","","Smith 1841","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201307","BUH","Barbus haasi","","","","","","","Mertens 1925","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201308","BUO","Barbus holotaenia","Spotscale barb","","","","","","Boulenger 1904","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201309","BUJ","Barbus johnstonii","","","","","","","Boulenger 1907","Cyprinidae","CYPRINIFORMES","NO",""
